Isolate_ID,Farm_id,Sample_site,Total length,Total_contigs,GC (%),N50,L90,SBI,Lactose,Sorbitol,Surcrose,Stx_gene
EcCa534a,84,Farm,5739655,2,50.46,5646240,1,AWY2a,1,0,1,Stx2a
EcCa534b,84,Farm,5628754,2,50.44,5537758,1,AY2a,1,0,1,Stx2a
EcCa534c,84,Farm,5628524,2,50.44,5537528,1,AY2a,1,0,1,Stx2a
EcCa534d,84,Farm,5628758,2,50.44,5537762,1,AY2a,1,0,1,Stx2a
EcCa535a,84,Farm,5742947,3,50.46,5646241,1,AWY2a,1,0,1,Stx2a
EcCa535b,84,Farm,5693365,2,50.44,5599950,1,AWY2a,1,0,1,Stx2a
EcCa535c,84,Farm,5739655,2,50.46,5646240,1,AWY2a,1,0,1,Stx2a
EcCa535d,84,Farm,5740967,2,50.46,5647552,1,AWY2a,1,0,1,Stx2a
EcCa536a,84,Farm,5739664,2,50.46,5646248,1,AWY2a,1,0,1,Stx2a
EcCa536b,84,Farm,5742952,3,50.46,5646246,1,AWY2a,1,0,1,Stx2a
EcCa536c,84,Farm,5739660,2,50.46,5646245,1,AWY2a,1,0,1,Stx2a
EcCa536d,84,Farm,5739659,2,50.46,5646244,1,AWY2a,1,0,1,Stx2a
EcCa536e,84,Farm,5627451,2,50.44,5536456,1,AY2a,1,0,1,Stx2a
EcCa537a,130,Lairage,5589749,2,50.43,5498765,1,AY2a,1,0,1,Stx2a
EcCa537b,130,Lairage,5589746,2,50.43,5498762,1,AY2a,1,0,1,Stx2a
EcCa537c,130,Lairage,5589747,2,50.43,5498763,1,AY2a,1,0,1,Stx2a
EcCa537d,130,Lairage,5589750,2,50.43,5498765,1,AY2a,1,0,1,Stx2a
EcCa539a,84,Lairage,5739651,2,50.46,5646236,1,AWY2a,1,0,1,Stx2a
EcCa540a,84,Lairage,5627442,2,50.44,5536452,1,AY2a,1,0,1,Stx2a
EcCa540b,84,Lairage,5627444,2,50.44,5536449,1,AY2a,1,0,1,Stx2a
EcCa541a,84,Lairage,5710809,2,50.47,5619813,1,AY2a,1,0,1,Stx2a
EcCa541b,84,Lairage,5581520,3,50.42,5489854,1,AY2a,1,0,1,Stx2a
EcCa541c,84,Lairage,5628759,2,50.44,5537764,1,AY2a,1,0,1,Stx2a
EcCa542a,84,Lairage,5627436,2,50.44,5536441,1,AY2a,1,0,1,Stx2a
EcCa542b,84,Lairage,5624704,2,50.43,5536498,1,AY2a,1,0,1,Stx2a
EcCa542c,84,Lairage,5627448,2,50.44,5536452,1,AY2a,1,0,1,Stx2a
EcCa543a,84,Lairage,5628772,2,50.44,5537776,1,AY2a,1,0,1,Stx2a
EcCa543b,84,Lairage,5739661,2,50.46,5646246,1,AWY2a,1,0,1,Stx2a
EcCa543c,84,Lairage,5628762,2,50.44,5537766,1,AY2a,1,0,1,Stx2a
EcCa543d,84,Lairage,5628755,2,50.44,5537759,1,AY2a,1,0,1,Stx2a
EcCa577a,25,Farm,5501402,2,50.46,5408660,1,WY12a,1,0,1,Stx1a_and_2a
EcCa577b,25,Farm,5553104,2,50.46,5460375,1,WY12a,1,0,1,Stx1a_and_2a
EcCa577c,25,Farm,5564446,2,50.44,5471716,1,WY12a,1,0,1,Stx1a_and_2a
EcCa577d,25,Farm,5553102,2,50.46,5460376,1,WY12a,1,0,1,Stx1a_and_2a
EcCa613a,25,Hide,5604386,2,50.44,5513418,1,AY2a,1,0,1,Stx2a
EcCa613b,25,Hide,5636343,2,50.45,5545375,1,AY2a,1,0,1,Stx2a
EcCa619a,19,Hide,5557059,2,50.46,5464318,1,WY12a,1,0,1,Stx1a_and_2a
EcCa619b,19,Hide,5557057,2,50.46,5464316,1,WY12a,1,0,1,Stx1a_and_2a
EcCa619c,19,Hide,5557059,2,50.46,5464318,1,WY12a,1,0,1,Stx1a_and_2a
EcCa619d,19,Hide,5559056,3,50.46,5464321,1,WY12a,1,0,1,Stx1a_and_2a
EcCa619e,19,Hide,5557061,2,50.46,5464320,1,WY12a,1,0,1,Stx1a_and_2a
EcCa619f,19,Hide,5555990,2,50.47,5464318,1,WY12a,1,0,1,Stx1a_and_2a
EcCa620a,25,Hide,5640803,2,50.45,5549367,1,ASY2c,1,0,0,Stx2c
EcCa620b,25,Hide,5628457,2,50.45,5537486,1,AY2a,1,0,1,Stx2a
EcCa620c,25,Hide,5640808,2,50.45,5549371,1,ASY2c,1,0,0,Stx2c
EcCa621a,25,Hide,5640952,2,50.45,5549513,1,ASY2c,1,0,0,Stx2c
EcCa621b,25,Hide,5640816,2,50.45,5549377,1,ASY2c,1,0,0,Stx2c
EcCa621c,25,Hide,5637641,2,50.45,5549371,1,ASY2c,1,0,0,Stx2c
EcCa621d,25,Hide,5640804,2,50.45,5549368,1,ASY2c,1,0,0,Stx2c
EcCa622a,25,Hide,5619527,2,50.42,5439268,1,WY12a,1,0,1,Stx1a_and_2a
EcCa622b,25,Hide,5640812,2,50.45,5549373,1,ASY2c,1,0,0,Stx2c
EcCa622c,25,Hide,5512514,6,50.44,5387540,1,WY12a,1,0,1,Stx1a_and_2a
EcCa622d,25,Hide,5571343,3,50.47,5460379,1,WY12a,1,0,1,Stx1a_and_2a
EcCa623a,25,Hide,5580587,2,50.46,5491224,1,SY2c,1,0,1,Stx2c
EcCa623b,25,Hide,5640809,2,50.45,5549373,1,ASY2c,1,0,0,Stx2c
EcCa623c,25,Hide,5640808,2,50.45,5549372,1,ASY2c,1,0,0,Stx2c
EcCa623d,25,Hide,5739661,4,50.37,5581167,1,AY2a,1,0,1,Stx2a
EcCa624a,25,Hide,5640810,2,50.45,5549373,1,ASY2c,1,0,0,Stx2c
EcCa624b,25,Hide,5640803,2,50.45,5549367,1,ASY2c,1,0,0,Stx2c
EcCa624c,25,Hide,5640808,2,50.45,5549376,1,ASY2c,1,0,0,Stx2c
EcCa625a,30,Hide,5640808,2,50.45,5549372,1,ASY2c,1,0,0,Stx2c
EcCa625b,30,Hide,5640805,2,50.45,5549371,1,ASY2c,1,0,0,Stx2c
EcCa625c,30,Hide,5640811,2,50.45,5549373,1,ASY2c,1,0,0,Stx2c
EcCa625d,30,Hide,5640811,2,50.45,5549373,1,ASY2c,1,0,0,Stx2c
EcCa626a,84,Hide,5627429,2,50.44,5536433,1,AY2a,1,0,1,Stx2a
EcCa626b,84,Hide,5679281,2,50.43,5518444,1,AY2a,1,0,1,Stx2a
EcCa626c,84,Hide,5627445,2,50.44,5536449,1,AY2a,1,0,1,Stx2a
EcCa626d,84,Hide,5627444,2,50.44,5536448,1,AY2a,1,0,1,Stx2a
EcCa628a,84,Hide,5773153,4,50.36,5536449,1,AY2a,1,0,1,Stx2a
EcCa629a_08,84,Hide,5774683,5,50.47,3637063,2,ASY2c,1,0,1,Stx2c
EcCa630a,84,Hide,5752392,3,50.48,5594726,1,AY2a,1,0,1,Stx2a
EcCa630b,84,Hide,5704464,3,50.46,5546798,1,AY2a,1,0,1,Stx2a
EcCa630c,84,Hide,5752383,3,50.48,5594719,1,AY2a,1,0,1,Stx2a
EcCa630d,84,Hide,5752416,3,50.48,5594748,1,AY2a,1,0,1,Stx2a
EcCa631a,84,Hide,5645804,2,50.52,5555471,1,SY2c,1,0,0,Stx2c
EcCa631b,84,Hide,5704460,3,50.46,5546798,1,AY2a,1,0,1,Stx2a
EcCa632a,84,Hide,5617250,3,50.45,5518434,1,AY2a,1,0,1,Stx2a
EcCa632b,84,Hide,5645806,2,50.52,5555471,1,SY2c,1,0,0,Stx2c
EcCa633a,84,Hide,5645806,2,50.52,5555472,1,SY2c,1,0,0,Stx2c
EcCa633b,84,Hide,5645805,2,50.52,5555471,1,SY2c,1,0,0,Stx2c
EcCa633c,84,Hide,5645804,2,50.52,5555472,1,SY2c,1,0,0,Stx2c
EcCa633d,84,Hide,5645808,2,50.52,5555475,1,SY2c,1,0,0,Stx2c
EcCa637a,84,Hide,5611646,3,50.36,5464699,1,AY2a,1,0,1,Stx2a
EcCa638a,130,Hide,5609419,2,50.46,5518439,1,AY2a,1,0,1,Stx2a
EcCa638b,130,Hide,5609422,2,50.46,5518443,1,AY2a,1,0,1,Stx2a
EcCa639a,130,Hide,5610736,2,50.46,5519755,1,AY2a,1,0,1,Stx2a
EcCa639b,130,Hide,5610736,2,50.46,5519756,1,AY2a,1,0,1,Stx2a
EcCa639c,130,Hide,5610898,2,50.45,5519917,1,AY2a,1,0,1,Stx2a
EcCa641a,130,Hide,5645805,2,50.52,5555469,1,SY2c,1,0,0,Stx2c
EcCa641b,130,Hide,5645806,2,50.52,5555472,1,SY2c,1,0,0,Stx2c
EcCa641c,130,Hide,5645797,2,50.52,5555469,1,SY2c,1,0,0,Stx2c
EcCa642a,130,Hide,5609422,2,50.46,5518442,1,AY2a,1,0,1,Stx2a
EcCa642b,130,Hide,5609423,2,50.46,5518443,1,AY2a,1,0,1,Stx2a
EcCa642c,130,Hide,5609432,2,50.46,5518444,1,AY2a,1,0,1,Stx2a
EcCa642d,130,Hide,5609705,2,50.45,5518724,1,AY2a,1,0,1,Stx2a
EcCa643a,130,Hide,5645797,2,50.52,5555469,1,SY2c,1,0,0,Stx2c
EcCa643b,130,Hide,5645804,2,50.52,5555474,1,SY2c,1,0,0,Stx2c
EcCa643c,130,Hide,5613337,3,50.45,5518439,1,AY2a,1,0,1,Stx2a
EcCa644a,130,Hide,5719578,4,50.58,4859756,2,SY2c,1,0,0,Stx2c
EcCa644b,130,Hide,5634437,3,50.51,4734617,2,SY2c,1,0,0,Stx2c
EcCa644c,130,Hide,5646073,2,50.51,5555740,1,SY2c,1,0,0,Stx2c
EcCa645a,84,Pre_intervention,5628749,2,50.44,5537753,1,AY2a,1,0,1,Stx2a
EcCa645b,84,Pre_intervention,5628865,2,50.44,5537870,1,AY2a,1,1,1,Stx2a
EcCa645c,84,Pre_intervention,5628759,2,50.44,5537764,1,AY2a,1,0,1,Stx2a
EcCa646a,84,Pre_intervention,5628954,2,50.43,5537958,1,AY2a,1,0,1,Stx2a
EcCa646b,84,Pre_intervention,5630077,2,50.44,5539082,1,AY2a,1,0,1,Absent
EcCa646c,84,Pre_intervention,5628761,2,50.44,5537771,1,AY2a,1,0,1,Stx2a
EcCa646d_comb,84,Pre_intervention,5628759,2,50.44,5537763,1,AY2a,1,0,1,Stx2a
EcCa647a,84,Post_intervention,5628752,2,50.44,5537757,1,AY2a,1,0,1,Stx2a
EcCa647b,84,Post_intervention,5628760,2,50.44,5537763,1,AY2a,1,0,1,Stx2a
EcCa647c,84,Post_intervention,5739657,2,50.46,5646242,1,AWY2a,1,0,1,Stx2a
EcCa647d,84,Post_intervention,5628759,2,50.44,5537764,1,AY2a,1,0,1,Stx2a
